country,year,sex,age,suicides_no,population
Kuwait,1999,male,75+ years,0.0,4000.0
Kuwait,2000,female,15-24 years,2.0,147681.0
Kuwait,2000,female,25-34 years,10.0,189015.0
Kuwait,2000,female,35-54 years,2.0,197224.0
Kuwait,2000,female,5-14 years,0.0,178644.0
Kuwait,2000,female,55-74 years,0.0,34331.0
Kuwait,2000,female,75+ years,0.0,4246.0
Kuwait,2000,male,15-24 years,3.0,163848.0
Kuwait,2000,male,25-34 years,11.0,373318.0
Kuwait,2000,male,35-54 years,5.0,431562.0
Kuwait,2000,male,5-14 years,0.0,187983.0
Kuwait,2000,male,55-74 years,1.0,61145.0
Kuwait,2000,male,75+ years,0.0,4156.0
Kuwait,2001,female,15-24 years,0.0,158070.0
Kuwait,2001,female,25-34 years,3.0,197334.0
Kuwait,2001,female,35-54 years,2.0,209093.0
Kuwait,2001,female,5-14 years,0.0,180414.0
Kuwait,2001,female,55-74 years,0.0,38503.0
Kuwait,2001,female,75+ years,0.0,4919.0
Kuwait,2001,male,15-24 years,2.0,172345.0
Kuwait,2001,male,25-34 years,8.0,367180.0
Kuwait,2001,male,35-54 years,15.0,453739.0
Kuwait,2001,male,5-14 years,0.0,189011.0
Kuwait,2001,male,55-74 years,0.0,63433.0
Kuwait,2001,male,75+ years,0.0,4489.0
Kuwait,2002,female,15-24 years,2.0,168033.0
Kuwait,2002,female,25-34 years,5.0,213750.0
Kuwait,2002,female,35-54 years,4.0,225709.0
Kuwait,2002,female,5-14 years,0.0,183948.0
Kuwait,2002,female,55-74 years,0.0,41294.0
Kuwait,2002,female,75+ years,0.0,5290.0
Kuwait,2002,male,15-24 years,5.0,185185.0
Kuwait,2002,male,25-34 years,11.0,388020.0
Kuwait,2002,male,35-54 years,18.0,482228.0
Kuwait,2002,male,5-14 years,0.0,193020.0
Kuwait,2002,male,55-74 years,0.0,67364.0
Kuwait,2002,male,75+ years,0.0,4762.0
Kuwait,2003,female,15-24 years,2.0,167291.0
Kuwait,2003,female,25-34 years,9.0,185021.0
Kuwait,2003,female,35-54 years,3.0,208524.0
Kuwait,2003,female,5-14 years,0.0,172216.0
Kuwait,2003,female,55-74 years,0.0,44516.0
Kuwait,2003,female,75+ years,0.0,3525.0
Kuwait,2003,male,15-24 years,2.0,209956.0
Kuwait,2003,male,25-34 years,11.0,296337.0
Kuwait,2003,male,35-54 years,17.0,397654.0
Kuwait,2003,male,5-14 years,0.0,190628.0
Kuwait,2003,male,55-74 years,0.0,70627.0
Kuwait,2003,male,75+ years,0.0,4327.0
Kuwait,2004,female,15-24 years,3.0,168373.0
Kuwait,2004,female,25-34 years,7.0,192013.0
Kuwait,2004,female,35-54 years,7.0,212485.0
Kuwait,2004,female,5-14 years,0.0,175678.0
Kuwait,2004,female,55-74 years,0.0,47016.0
Kuwait,2004,female,75+ years,0.0,3453.0
Kuwait,2004,male,15-24 years,5.0,206153.0
Kuwait,2004,male,25-34 years,6.0,318728.0
Kuwait,2004,male,35-54 years,17.0,402163.0
Kuwait,2004,male,5-14 years,0.0,192791.0
Kuwait,2004,male,55-74 years,0.0,73036.0
Kuwait,2004,male,75+ years,0.0,4197.0
Kuwait,2005,female,15-24 years,3.0,168662.0
Kuwait,2005,female,25-34 years,7.0,203126.0
Kuwait,2005,female,35-54 years,1.0,220232.0
Kuwait,2005,female,5-14 years,0.0,181830.0
Kuwait,2005,female,55-74 years,0.0,49714.0
Kuwait,2005,female,75+ years,0.0,3575.0
Kuwait,2005,male,15-24 years,2.0,201000.0
Kuwait,2005,male,25-34 years,21.0,346283.0
Kuwait,2005,male,35-54 years,17.0,413321.0
Kuwait,2005,male,5-14 years,0.0,195927.0
Kuwait,2005,male,55-74 years,1.0,74974.0
Kuwait,2005,male,75+ years,0.0,4324.0
Kuwait,2006,female,15-24 years,2.0,182410.0
Kuwait,2006,female,25-34 years,5.0,215556.0
Kuwait,2006,female,35-54 years,3.0,235105.0
Kuwait,2006,female,5-14 years,0.0,187102.0
Kuwait,2006,female,55-74 years,1.0,50864.0
Kuwait,2006,female,75+ years,0.0,3887.0
Kuwait,2006,male,15-24 years,2.0,215810.0
Kuwait,2006,male,25-34 years,18.0,360383.0
Kuwait,2006,male,35-54 years,14.0,432150.0
Kuwait,2006,male,5-14 years,0.0,199187.0
Kuwait,2006,male,55-74 years,0.0,78524.0
Kuwait,2006,male,75+ years,0.0,4735.0
Kuwait,2007,female,15-24 years,1.0,220418.0
Kuwait,2007,female,25-34 years,7.0,301345.0
Kuwait,2007,female,35-54 years,6.0,325356.0
Kuwait,2007,female,5-14 years,0.0,207774.0
Kuwait,2007,female,55-74 years,0.0,58858.0
Kuwait,2007,female,75+ years,0.0,7399.0
Kuwait,2007,male,15-24 years,5.0,268049.0
Kuwait,2007,male,25-34 years,21.0,640909.0
Kuwait,2007,male,35-54 years,9.0,717868.0
Kuwait,2007,male,5-14 years,0.0,220886.0
Kuwait,2007,male,55-74 years,2.0,99708.0
Kuwait,2007,male,75+ years,0.0,6348.0
Kuwait,2008,female,15-24 years,2.0,247755.0
Kuwait,2008,female,25-34 years,6.0,348503.0
Kuwait,2008,female,35-54 years,5.0,363431.0
Kuwait,2008,female,5-14 years,0.0,215473.0
Kuwait,2008,female,55-74 years,1.0,63516.0
Kuwait,2008,female,75+ years,0.0,8038.0
Kuwait,2008,male,15-24 years,5.0,283568.0
Kuwait,2008,male,25-34 years,13.0,712955.0
Kuwait,2008,male,35-54 years,14.0,780428.0
Kuwait,2008,male,5-14 years,0.0,228709.0
Kuwait,2008,male,55-74 years,1.0,110218.0
Kuwait,2008,male,75+ years,0.0,6800.0
Kuwait,2009,female,15-24 years,3.0,219634.0
Kuwait,2009,female,25-34 years,11.0,309613.0
Kuwait,2009,female,35-54 years,6.0,342583.0
Kuwait,2009,female,5-14 years,0.0,219779.0
Kuwait,2009,female,55-74 years,1.0,68187.0
Kuwait,2009,female,75+ years,0.0,8255.0
Kuwait,2009,male,15-24 years,4.0,262196.0
Kuwait,2009,male,25-34 years,14.0,635172.0
Kuwait,2009,male,35-54 years,22.0,747742.0
Kuwait,2009,male,5-14 years,0.0,231825.0
Kuwait,2009,male,55-74 years,0.0,113405.0
Kuwait,2009,male,75+ years,0.0,7263.0
Kuwait,2010,female,15-24 years,2.0,231645.0
Kuwait,2010,female,25-34 years,8.0,351659.0
Kuwait,2010,female,35-54 years,3.0,387443.0
Kuwait,2010,female,5-14 years,0.0,225440.0
Kuwait,2010,female,55-74 years,0.0,72487.0
Kuwait,2010,female,75+ years,0.0,8964.0
Kuwait,2010,male,15-24 years,1.0,254945.0
Kuwait,2010,male,25-34 years,13.0,619392.0
Kuwait,2010,male,35-54 years,9.0,762814.0
Kuwait,2010,male,5-14 years,0.0,237315.0
Kuwait,2010,male,55-74 years,3.0,121359.0
Kuwait,2010,male,75+ years,0.0,8151.0
Kuwait,2011,female,15-24 years,2.0,232768.0
Kuwait,2011,female,25-34 years,6.0,354327.0
Kuwait,2011,female,35-54 years,4.0,396994.0
Kuwait,2011,female,5-14 years,3.0,230439.0
Kuwait,2011,female,55-74 years,0.0,77462.0
Kuwait,2011,female,75+ years,0.0,9934.0
Kuwait,2011,male,15-24 years,4.0,260399.0
Kuwait,2011,male,25-34 years,9.0,614348.0
Kuwait,2011,male,35-54 years,9.0,777932.0
Kuwait,2011,male,5-14 years,2.0,242095.0
Kuwait,2011,male,55-74 years,2.0,128263.0
Kuwait,2011,male,75+ years,0.0,8737.0
Kuwait,2012,female,15-24 years,4.0,237359.0
Kuwait,2012,female,25-34 years,8.0,377621.0
Kuwait,2012,female,35-54 years,5.0,423084.0
Kuwait,2012,female,5-14 years,0.0,239552.0
Kuwait,2012,female,55-74 years,2.0,83066.0
Kuwait,2012,female,75+ years,0.0,10287.0
Kuwait,2012,male,15-24 years,10.0,267410.0
Kuwait,2012,male,25-34 years,8.0,637302.0
Kuwait,2012,male,35-54 years,17.0,822229.0
Kuwait,2012,male,5-14 years,1.0,250917.0
Kuwait,2012,male,55-74 years,1.0,138505.0
Kuwait,2012,male,75+ years,0.0,9366.0
Kuwait,2013,female,15-24 years,3.0,233349.0
Kuwait,2013,female,25-34 years,5.0,380061.0
Kuwait,2013,female,35-54 years,5.0,431425.0
Kuwait,2013,female,5-14 years,0.0,251412.0
Kuwait,2013,female,55-74 years,0.0,88514.0
Kuwait,2013,female,75+ years,0.0,10926.0
Kuwait,2013,male,15-24 years,2.0,267988.0
Kuwait,2013,male,25-34 years,16.0,643877.0
Kuwait,2013,male,35-54 years,7.0,847524.0
Kuwait,2013,male,5-14 years,0.0,262862.0
Kuwait,2013,male,55-74 years,3.0,146172.0
Kuwait,2013,male,75+ years,0.0,9980.0
Kuwait,2014,female,15-24 years,5.0,228222.0
Kuwait,2014,female,25-34 years,4.0,390934.0
Kuwait,2014,female,35-54 years,8.0,454428.0
Kuwait,2014,female,5-14 years,0.0,264790.0
Kuwait,2014,female,55-74 years,1.0,94314.0
Kuwait,2014,female,75+ years,0.0,11335.0
Kuwait,2014,male,15-24 years,7.0,270301.0
Kuwait,2014,male,25-34 years,22.0,663735.0
Kuwait,2014,male,35-54 years,18.0,892860.0
Kuwait,2014,male,5-14 years,0.0,276927.0
Kuwait,2014,male,55-74 years,3.0,156953.0
